Site,Part captée sur l'ensemble des projets collaboratifs IA de 2014 à 2023 (%),Nombre de projets collaboratifs IA de 2014 à 2023
Alliance Sorbonne Université,1.9,29.0
Convention de coordination en Nouvelle-Aquitaine,1.3,19.0
Institut polytechnique de Paris,1.2,15.0
ComUE Lyon Saint-Étienne,1.0,14.0
Université de Toulouse,0.9,23.0
Université Paris-Saclay,0.8,17.0
Strasbourg/Lorraine et associés,0.6,12.0
Université Paris Cité,0.6,9.0
Université Bourgogne - Franche-Comté,0.6,8.0
Université Clermont Auvergne,0.5,4.0
Nantes Université,0.5,5.0
Paris-Est Sup,0.4,6.0
Site Aix-Marseille-Provence-Méditerranée,0.4,5.0
Université Paris sciences et lettres,0.3,5.0
Université Grenoble Alpes,0.3,12.0
Université de Rennes,0.2,6.0
Université de Lille,0.1,5.0
Université Côte dAzur,0.1,4.0
Université Polytechnique Hauts-de-France,0.1,3.0
Site champenois,0.1,
Alliance Languedoc-Roussillon Universités,,3.0
