Site,Part captée sur l'ensemble des projets Marie-Curie en IA de 2014 à 2023 (%),Nombre de projets Marie-Curie en IA de 2014 à 2023
Alliance Sorbonne Université,9.8,10.0
Université Paris-Saclay,8.2,10.0
Université Paris sciences et lettres,4.5,6.0
ComUE Lyon Saint-Étienne,3.6,8.0
Nantes Université,3.1,3.0
Institut polytechnique de Paris,2.8,7.0
Université Clermont Auvergne,2.3,3.0
Strasbourg/Lorraine et associés,2.2,8.0
Site Aix-Marseille-Provence-Méditerranée,1.9,6.0
Alliance Languedoc-Roussillon Universités,1.6,3.0
COMUE Angers-Le Mans,1.5,2.0
Université Grenoble Alpes,1.3,5.0
Université de Toulouse,1.2,5.0
Convention de coordination en Nouvelle-Aquitaine,0.9,6.0
Université Paris Cité,0.8,3.0
Université Bourgogne - Franche-Comté,0.7,4.0
Normandie Université,0.6,5.0
Alliance universitaire de Bretagne,0.4,2.0
Université de Lille,0.3,2.0
Paris-Est Sup,0.3,
Université Côte dAzur,,2.0
