Etablissement,Contribution 2022 (%),Nombre de publications 2022 en IA
"Institut Polytechnique 
de Paris",8.3,1541
Sorbonne Université,6.62,1230
University of Paris-Saclay,6.53,1213
"Université Grenoble 
Alpes",5.0,929
"Claude Bernard 
University Lyon 
1",3.97,738
"Université Paris 
Cité",3.91,726
University of Lille,3.02,562
"Université Paris 
Sciences et Lettres",2.67,497
Aix-Marseille University,2.61,486
"Grenoble Institute 
of Technology",2.59,482
Université de Lorraine,2.56,477
University of Montpellier,2.51,467
Université de Toulouse,2.5,465
"Université Toulouse 
III - Paul Sabatier",2.2,410
University of Rennes,2.13,396
University of Bordeaux,1.99,371
CentraleSupélec,1.93,359
"Université Gustave 
Eiffel",1.9,353
"Institut Polytechnique 
de Bordeaux",1.88,350
"Université Côte 
d'Azur",1.6,297
University of Strasbourg,1.46,272
